"Kinase"	"InKA_H2228_1"	"InKA_H2228_2"	"InKA_HCC827ER3_1"	"InKA_HCC827ER3_2"	"InKA_K562_1"	"InKA_K562_2"	"InKA_SKMel28_1"	"InKA_SKMel28_2"
"ABL1"	14.2828568570857	15.4272486205415	30.6594194335118	19.8494332412792	173.167548923001	177.910089652049	0	0
"ABL2"	5.91607978309962	6.92820323027551	4.89897948556636	2.44948974278318	48.9897948556636	51.5363949069005	0	0
"ALK"	48.7749935930288	46.475800154489	0	0	0	0	0	0
"AURKA"	0	0	0	0	1	1	0	0
"AXL"	64.7610994347687	49.7192115786242	196.265126805554	201.246117974981	49.4469412603045	48.8057373676497	39.0384425918863	39.0640499692492
"BMX"	0	0	0	0	3.46410161513775	0	0	0
"BTK"	0	0	0	0	14.0712472794703	15.8745078663875	0	0
"CDK1"	6.92820323027551	9.79795897113271	12.2474487139159	11.6619037896906	11.6189500386223	22.6274169979695	6.85565460040104	0
"CDK2"	6.85565460040104	9.69535971483266	10.7238052947636	10.770329614269	11.5325625946708	22.5388553391693	0	0
"CDK3"	29.8831055949679	29.086079144498	59.1269819963779	68.5419579527752	62.104750220897	55.208694967369	9.69535971483266	10.8627804912002
"CDK5"	5.29150262212918	5.47722557505166	4.89897948556636	5.09901951359278	2.44948974278318	3.16227766016838	6.32455532033676	6
"CSK"	9.53939201416946	0	18.6279360101972	18.7616630392937	9.89949493661167	9.74679434480896	5.3851648071345	4.89897948556636
"EGFR"	13.228756555323	13.4164078649987	139.967853452141	158.461351754931	0	0	0	0
"EPHA2"	16.7332005306815	10.9544511501033	48.6312656631513	60.7042008431048	0	0	2.44948974278318	2.82842712474619
"EPHB3"	0	2.44948974278318	3	2	0	0	0	0
"ERBB2"	0	6.92820323027551	14.4913767461894	15.4272486205415	0	0	0	0
"FER"	4.69041575982343	0	2.82842712474619	3.74165738677394	0	2	3.46410161513775	0
"FGFR1"	2.44948974278318	0	0	0	0	0	0	0
"FGFR4"	0	0	9.38083151964686	0	0	0	0	0
"FGR"	6.16441400296898	5.3851648071345	4.79583152331272	6	1.73205080756888	2.82842712474619	4.69041575982343	4
"FRK"	0	0	6.92820323027551	6.92820323027551	0	0	0	0
"FYN"	14.9666295470958	16.431676725155	27.0554985169374	23.832750575626	58.4807660688538	61.9677335393187	9.89949493661167	8.48528137423857
"GSK3A"	24.0416305603426	22.6274169979695	26.8700576850888	22.6274169979695	19.7989898732233	21.5638586528478	5.65685424949238	24.0416305603426
"GSK3B"	24.0416305603426	22.6274169979695	30.8220700148449	25.298221281347	19.7989898732233	21.2132034355964	5.65685424949238	24.0416305603426
"HCK"	8	11.4891252930761	4.69041575982343	4	42.4264068711929	43.1277173056956	1.4142135623731	0
"HIPK2"	7.07106781186548	8.48528137423857	7.07106781186548	7.07106781186548	8.48528137423857	8.48528137423857	5.65685424949238	8.48528137423857
"IGF1R"	10.0995049383621	4.24264068711928	0	0	0	0	6.32455532033676	6.32455532033676
"INSR"	12.2474487139159	5.8309518948453	0	0	0	0	6.32455532033676	6.32455532033676
"JAK1"	0	0	7.74596669241483	7.48331477354788	0	0	0	0
"JAK2"	8.48528137423857	10.6770782520313	7.54983443527075	6.78232998312527	17.3205080756888	18.5741756210067	17.0880074906351	11.4891252930761
"LCK"	9.16515138991168	8.48528137423857	10.5830052442584	11.4891252930761	21.4476105895272	20.2484567313166	7.07106781186548	7.07106781186548
"LMTK2"	0	0	2.82842712474619	2.44948974278318	0	0	0	0
"LYN"	13.7840487520902	11.7473401244707	25.0998007960223	24.8193472919817	69.4550214167413	70.4840407468244	3.87298334620742	2
"MAPK1"	7.74596669241483	6.32455532033676	8.94427190999916	7.74596669241483	28.5306852353742	23.6220236220354	0	0
"MAPK14"	24.454038521275	21.0237960416286	8.48528137423857	8.94427190999916	10.1980390271856	6.48074069840786	13.4164078649987	12
"MAPK3"	18.9736659610103	15.4919333848297	8.83176086632785	10.4880884817015	30.854497241083	29.732137494637	28.9827534923789	22.6274169979695
"MELK"	0	0	6.32455532033676	4.47213595499958	0	0	0	0
"MERTK"	0	0	7.74596669241483	6.92820323027551	0	0	0	0
"MET"	21.2132034355964	18.9736659610103	257.264455376175	280.725844909228	0	0	0	0
"MST1R"	0	0	49.3558507170123	57.393379409127	0	0	0	0
"PRKCD"	0	0	0	0	0	2.44948974278318	0	0
"PTK2"	57.2712842531054	44.1927595879687	34.5832329315812	52.5357021462548	4.58257569495584	6	32.5269119345812	24.0416305603426
"SRC"	52.0768662651661	49.4772675074119	46.0217339960154	39.648455203198	64.1560597293818	61.708994482166	35.4964786985977	32.7108544675922
"SYK"	1	0	0	0	7.74596669241483	7.74596669241483	2.23606797749979	0
"TEC"	0	0	0	0	3.16227766016838	5.47722557505166	0	0
"TGFBR2"	1.4142135623731	0	3.16227766016838	2.82842712474619	0	0	0	0
"TNK2"	0	3.3166247903554	0	0	11.8321595661992	10.816653826392	3.46410161513775	0
"TTK"	0	0	1.73205080756888	2.44948974278318	0	0	0	0
"YES1"	7.48331477354788	7.74596669241483	8.06225774829855	6	0	0	5.29150262212918	4.89897948556636
